longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.39,34.12,29,6447,1012.0,2184,960,8.2816,483020.6,<1H OCEAN
-120.42,34.89,24,2020,307.0,855,283,5.0099,221708.09,<1H OCEAN
-118.45,34.25,36,1453,270.0,808,275,4.3839,205706.0,<1H OCEAN
-118.1,33.91,35,1653,325.0,1072,301,3.2708,170623.0,<1H OCEAN
-117.07,32.77,38,3779,614.0,1495,614,4.3529,212497.0,NEAR OCEAN
-118.04,33.93,35,1805,387.0,1505,366,4.1667,164798.0,<1H OCEAN
-122.27,37.83,49,1655,366.0,754,329,1.375,114046.0,NEAR BAY
-122.26,37.46,26,5067,750.0,1996,728,7.0001,434144.28,NEAR OCEAN
-122.03,37.36,16,2697,803.0,1369,723,4.4699,280961.03,<1H OCEAN
-117.61,33.43,24,2303,399.0,851,379,3.9875,258439.07,NEAR OCEAN
-118.32,34.06,36,3239,722.0,1383,612,4.5918,408649.28,<1H OCEAN
-121.23,37.96,44,2204,473.0,1277,435,1.5539,69340.0,INLAND
-121.2,37.81,26,395,74.0,193,72,7.3718,270996.0,INLAND
-121.91,37.24,24,5046,1001.0,2449,968,4.7118,266551.0,<1H OCEAN
-118.48,34.28,35,2132,368.0,1128,341,5.3107,235190.0,<1H OCEAN
-117.65,34.1,44,1526,337.0,831,326,3.0284,124375.0,INLAND
-121.59,39.82,12,1958,369.0,875,354,2.3507,92847.0,INLAND
-118.97,35.41,36,1896,315.0,937,303,3.996,96797.0,INLAND
-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,338403.03,<1H OCEAN
-118.39,33.85,24,4373,871.0,1830,824,5.7128,374039.09,<1H OCEAN
-117.98,33.73,18,3833,,2192,996,3.4679,197371.0,<1H OCEAN
-118.32,33.79,35,2924,658.0,1675,602,3.8287,296512.0,<1H OCEAN
-120.27,34.72,14,1289,277.0,693,237,3.2569,204461.0,<1H OCEAN
-119.65,36.33,52,1257,257.0,624,243,2.3523,64569.0,INLAND
-119.86,36.82,12,1488,253.0,675,223,4.7622,112824.0,INLAND
-119.23,35.78,8,1612,343.0,1230,330,2.1806,69609.0,INLAND
-118.35,34.16,45,1390,281.0,538,270,4.2212,312614.03,<1H OCEAN
-120.94,37.68,4,13315,2424.0,6420,2289,4.2471,170627.0,INLAND
-118.99,35.24,40,282,59.0,213,71,2.35,78535.0,INLAND
-121.11,37.47,12,2263,410.0,913,330,3.5795,137369.0,INLAND
-118.02,34.08,28,2769,631.0,2452,581,2.6071,172992.0,INLAND
-120.17,39.33,10,614,141.0,195,95,0.9283,102704.0,INLAND
-118.35,34.02,34,3978,1073.0,2725,1035,1.7622,143769.0,<1H OCEAN
-123.34,39.5,15,2342,535.0,1064,433,1.8967,87371.0,INLAND
-122.24,40.18,39,2191,493.0,1307,499,1.6483,60508.0,INLAND
-122.03,37.36,28,2490,345.0,948,361,6.4913,369103.04,<1H OCEAN
-117.09,32.58,12,2565,567.0,1785,545,3.0273,131954.0,NEAR OCEAN
-118.33,34.18,45,1552,315.0,785,316,3.7411,230648.01,<1H OCEAN
-121.44,38.53,37,1951,432.0,1089,411,2.3272,90272.0,INLAND
-119.7,34.43,35,1402,369.0,654,385,2.6205,321848.1,<1H OCEAN
-117.15,34.22,10,1039,174.0,317,109,7.2371,243299.0,INLAND
-118.37,33.87,18,2516,485.0,1128,433,5.0114,332238.0,<1H OCEAN
-118.01,33.85,29,3061,612.0,2396,640,4.6326,201521.0,<1H OCEAN
-122.32,37.94,47,1911,283.0,697,275,6.2712,343277.07,NEAR BAY
-117.96,33.94,34,2228,399.0,1159,378,4.8906,209523.0,<1H OCEAN
-117.96,34.14,33,1994,405.0,993,403,3.766,169949.0,INLAND
-117.55,34.0,17,3583,700.0,1587,719,2.6979,114519.0,INLAND
-122.28,37.86,41,2214,550.0,1213,568,2.2845,162601.0,NEAR BAY
-117.43,34.07,18,2453,537.0,1503,500,2.3768,110847.0,INLAND
-117.21,33.34,10,5294,817.0,2312,810,5.4563,315238.04,<1H OCEAN
-120.68,37.47,33,1028,226.0,658,197,2.3043,103838.0,INLAND
-122.83,38.96,15,1318,296.0,567,276,1.8692,83735.0,INLAND
-122.22,37.37,26,440,202.0,322,218,5.1831,401855.3,NEAR OCEAN
-116.87,32.75,15,2053,321.0,993,309,5.5164,191612.0,<1H OCEAN
-118.39,33.79,30,4402,563.0,1582,551,10.898,500001.0,NEAR OCEAN
-117.13,32.74,46,3355,768.0,1457,708,2.6604,170020.0,NEAR OCEAN
-122.45,37.74,38,5688,930.0,2263,908,6.203,416778.18,NEAR BAY
-122.47,38.29,14,3732,846.0,1277,775,2.5658,193861.0,NEAR BAY
-122.54,37.95,38,2310,400.0,971,386,5.697,392079.02,NEAR BAY
-123.1,38.79,20,3109,712.0,1643,638,2.8344,146818.0,<1H OCEAN
-117.07,32.56,9,3648,895.0,3293,840,3.0992,158066.0,NEAR OCEAN
-118.43,34.08,46,778,90.0,238,93,15.0001,480113.76,<1H OCEAN
-122.05,36.97,16,3363,611.0,1603,556,4.2542,277497.0,NEAR OCEAN
-122.25,37.49,43,2607,477.0,1225,461,4.224,343110.01,NEAR OCEAN
-117.87,34.14,30,2495,586.0,1139,559,2.9375,172156.0,INLAND
-118.2,34.05,42,1703,586.0,2490,581,2.02,143441.0,<1H OCEAN
-121.32,37.94,36,40,10.0,64,14,2.625,167270.15,INLAND
-120.96,38.66,11,2339,436.0,1062,380,3.9036,160382.0,INLAND
-120.43,34.96,24,2739,414.0,1171,413,4.8155,208084.0,<1H OCEAN
-122.28,37.9,52,2003,250.0,658,244,10.0825,493373.93,NEAR BAY
-122.0,37.08,17,4154,739.0,2149,693,5.5919,299143.0,NEAR OCEAN
-118.34,33.87,34,1069,217.0,601,212,4.6406,282006.0,<1H OCEAN
-118.52,34.21,36,1328,287.0,823,273,4.5648,204671.0,<1H OCEAN
-118.22,34.09,42,1706,488.0,1941,447,2.5213,151247.0,<1H OCEAN
-118.27,34.1,51,3149,519.0,1082,510,6.4459,465497.53,<1H OCEAN
-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,178614.0,INLAND
-118.22,34.08,31,394,117.0,573,131,1.8173,140976.0,<1H OCEAN
-121.78,36.93,21,2794,662.0,2236,565,2.4053,158168.0,<1H OCEAN
-117.36,33.18,39,1546,291.0,833,308,2.8893,237486.0,NEAR OCEAN
-119.01,35.36,24,1941,484.0,1277,435,1.056,56487.0,INLAND
-117.81,34.11,21,3481,808.0,1866,746,3.6201,169109.0,INLAND
-118.1,34.02,33,1143,172.0,508,174,4.9107,201255.0,<1H OCEAN
-117.03,32.96,16,3424,698.0,1940,645,4.121,173782.0,<1H OCEAN
-122.23,39.75,16,2026,396.0,1031,382,1.9375,84754.0,INLAND
-121.96,37.1,20,922,155.0,361,135,6.3617,314996.0,<1H OCEAN
-121.06,39.04,15,1999,287.0,585,246,5.5161,203743.0,INLAND
-118.1,34.09,46,2822,525.0,1434,520,3.8906,243766.01,<1H OCEAN
-118.32,33.95,44,2131,360.0,1040,330,5.0912,230589.02,<1H OCEAN
-122.21,37.44,35,1140,193.0,486,199,4.6908,335168.18,NEAR OCEAN
-118.19,34.1,39,2054,423.0,1205,403,4.239,215865.0,<1H OCEAN
-122.38,40.09,16,2077,388.0,1155,389,3.1361,105520.0,INLAND
-117.3,33.06,31,2128,520.0,1049,485,4.027,330376.21,NEAR OCEAN
-122.13,37.71,44,1421,298.0,609,270,3.5781,190807.0,NEAR BAY
-118.29,33.98,44,2261,555.0,1348,455,1.9125,107360.0,<1H OCEAN
-121.53,39.52,30,1030,161.0,448,159,2.4821,70807.0,INLAND
-120.47,34.65,16,2549,428.0,1486,432,4.2875,178050.0,NEAR OCEAN
-118.3,34.0,52,1718,354.0,1026,312,2.0,114408.0,<1H OCEAN
-118.22,33.8,33,1984,477.0,1764,440,3.875,175792.01,NEAR OCEAN
-118.27,33.97,39,2569,688.0,2601,630,2.0754,112595.0,<1H OCEAN
-118.34,34.06,52,1311,310.0,707,290,3.4812,394599.09,<1H OCEAN
-119.21,34.18,13,6103,1319.0,2986,1212,3.9718,263338.08,NEAR OCEAN
-117.83,33.81,24,3550,895.0,2828,834,2.8403,179777.0,<1H OCEAN
-118.85,34.18,11,5873,1455.0,3089,1365,3.5504,235836.02,<1H OCEAN
-118.37,36.19,10,443,111.0,48,21,3.125,82306.0,INLAND
-121.85,37.39,15,8748,1547.0,4784,1524,5.8322,268406.0,<1H OCEAN
-118.37,33.85,25,5622,998.0,2537,1009,5.785,334745.03,<1H OCEAN
-118.96,35.37,32,1025,259.0,874,236,1.9612,58937.0,INLAND
-120.64,35.65,9,3466,673.0,2356,619,2.9926,165846.0,<1H OCEAN
-118.41,34.19,42,779,145.0,450,148,3.9792,208418.0,<1H OCEAN
-122.53,37.95,22,7446,1979.0,2980,1888,3.5838,274751.01,NEAR BAY
-117.33,34.15,28,1473,333.0,1196,312,1.6993,73863.0,INLAND
